"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
1,"left lung",197,165,145,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
2,"cranial lobe",128,174,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
3,"middle lobe",241,214,145,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
4,"caudal lobe",177,122,101,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
5,"accessory lobe",111,184,210,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
6,"left kidney",185,102,83,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
7,"right kidney",185,102,83,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
8,"stomach wall",216,101,79,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
9,"stomach lumen",221,130,101,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
10,"medial lobe of liver",144,238,144,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
11,"left lobe of liver",192,104,88,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
12,"right lobe of liver",220,245,20,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
13,"caudate lobe of liver",78,63,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
14,"left adrenal",255,250,220,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
15,"right adrenal",230,220,70,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
16,"rectum",200,200,235,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
